,GAME_ID,TEAM_ABBREVIATION,TEAM_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,SEASON
102,11700058,LAL,28991029446,36.0,81.0,5.668,6.0,22.0,2.319,21.0,28.0,4.714,6.0,33.0,39.0,23.0,13.0,2.0,18.0,23.0,99.0,-30.0,2017
103,11700058,UTA,32212255240,37.0,80.0,3.757,7.0,26.0,2.1390000000000002,24.0,28.0,4.207,10.0,39.0,49.0,24.0,10.0,5.0,21.0,25.0,105.0,30.0,2017
104,11700059,CHI,32212254820,39.0,90.0,5.26,15.0,41.0,3.0580000000000003,15.0,17.0,4.0,11.0,40.0,51.0,24.0,9.0,5.0,15.0,19.0,108.0,70.0,2017
105,11700059,CLE,32212254780,34.0,84.0,5.746,14.0,27.0,5.7330000000000005,12.0,18.0,4.834,6.0,40.0,46.0,21.0,8.0,4.0,21.0,19.0,94.0,-70.0,2017
106,11700060,BOS,32212254760,43.0,85.0,6.282,16.0,32.0,5.433,6.0,8.0,3.5,4.0,33.0,37.0,26.0,5.0,5.0,13.0,23.0,108.0,40.0,2017
107,11700060,CHA,32212255320,37.0,88.0,5.236000000000001,13.0,37.0,2.766,13.0,19.0,5.417,12.0,35.0,47.0,18.0,3.0,2.0,14.0,14.0,100.0,-40.0,2017
108,11700061,PHX,28991029608,33.0,89.0,3.502,10.0,34.0,2.6719999999999997,25.0,33.0,5.134,9.0,40.0,49.0,17.0,9.0,6.0,11.0,23.0,101.0,-45.0,2017
109,11700061,POR,28991029626,39.0,94.0,6.477,12.0,23.0,5.0,23.0,30.0,8.917,13.0,44.0,57.0,18.0,6.0,5.0,15.0,26.0,113.0,45.0,2017
110,11700062,BKN,32212255020,39.0,88.0,5.875,13.0,37.0,4.0169999999999995,23.0,36.0,3.5709999999999997,7.0,30.0,37.0,16.0,8.0,4.0,19.0,27.0,114.0,-95.0,2017
111,11700062,PHI,32212255100,46.0,90.0,7.982,13.0,30.0,4.525,28.0,33.0,6.2780000000000005,11.0,41.0,52.0,25.0,13.0,3.0,17.0,32.0,133.0,95.0,2017
112,11700063,MIA,32212254960,44.0,89.0,5.531,16.0,40.0,4.317,13.0,19.0,2.821,7.0,33.0,40.0,28.0,7.0,4.0,13.0,27.0,117.0,10.0,2017
113,11700063,WAS,28991029752,44.0,88.0,5.173,7.0,26.0,1.966,20.0,27.0,6.384,12.0,34.0,46.0,27.0,4.0,2.0,14.0,16.0,115.0,-10.0,2017
114,11700064,HOU,32212254900,31.0,80.0,5.34,14.0,46.0,3.453,25.0,28.0,3.933,6.0,35.0,41.0,23.0,9.0,6.0,20.0,26.0,101.0,60.0,2017
115,11700064,MEM,32212255260,30.0,79.0,4.471,6.0,23.0,1.5,23.0,31.0,6.7170000000000005,6.0,37.0,43.0,20.0,10.0,5.0,19.0,25.0,89.0,-60.0,2017
116,11700065,ATL,28991029266,31.0,80.0,5.2,9.0,27.0,3.516,23.0,32.0,6.833,10.0,29.0,39.0,21.0,10.0,2.0,19.0,12.0,94.0,-70.0,2017
